State,days over 90F,Harsh Winter
Alabama,42,NO
Alaska,0,YES
Arizona,176,NO
Arkansas,66,NO
California,90,NO
Colorado,59,NO
Connecticut,24,NO
Delaware,35,NO
Florida,136,NO
Georgia,28,NO
Hawaii,15,NO
Idaho,71,YES
Illinois,31,NO
Indiana,17,NO
Iowa,35,YES
Kansas,41,NO
Kentucky,41,NO
Louisiana,70,NO
Maine,7,YES
Maryland,52,NO
Massacusetts,24,NO
Michigan,13,YES
Minnesota,27,YES
Mississippi,76,NO
Missouri,55,NO
Montana,45,YES
Nebraska,49,NO
Nevada,49,NO
New Hampshire,17,YES
New Jersey,41,NO
New Mexico,67,NO
New York,4,YES
North Carolina,57,NO
North Dakota,31,YES
Ohio,21,NO
Oklahoma,76,NO
Oregon,24,NO
Pennsylvania,37,NO
Rhode Island,21,NO
South Carolina,45,NO
South Dakota,33,YES
Tennessee,47,NO
Texas,105,NO
Utah,78,NO
Vermont,6,YES
Virginia,44,NO
Washington,10,NO
West Virginia,16,NO
Wisonsin,12,YES
Wyoming,33,YES
